Log started: 18-08-2018 23:21:22
Log started: 18-08-2018 23:21:22
[23:22:11] AllChats AllChats, Broadcaster: aaaaa
[23:27:37] Picarto.tv TomyAtemo, Derianart: madre mia que rapidez
[23:27:40] Picarto.tv TomyAtemo, Derianart: hoola :0
[23:27:41] Picarto.tv TomyAtemo, cecibarbs: derian, quisiera ser elote para que me untes mayonesa
[23:28:08] Picarto.tv TomyAtemo, Derianart: :cderianart-wut:
[23:28:37] Picarto.tv TomyAtemo, cecibarbs: :ptv-hearts:
[23:28:58] Picarto.tv TomyAtemo, TomyAtemo: o shit, no sabía que estaban strimeando
[23:29:15] Picarto.tv TomyAtemo, cecibarbs: hihihi sip
[23:29:20] Picarto.tv TomyAtemo, TomyAtemo: estaba probando un programa XD
[23:29:28] Picarto.tv TomyAtemo, TomyAtemo: perdon por el aaaaa
[23:29:53] Picarto.tv TomyAtemo, cecibarbs: no hay problem xd
[23:41:42] Picarto.tv TomyAtemo, Derianart: que programa? :0
[23:43:09] Picarto.tv TomyAtemo, TomyAtemo: es una cosa para mostrar el chat en mi stream
[23:43:40] Picarto.tv TomyAtemo, TomyAtemo: podría strimear para mostrarselos pero no estaría haciendo nada porque estoy haciendo un informe XD
[23:44:12] Picarto.tv TomyAtemo, Derianart: puedes copiar el link y pegarlo en Browsers source
[23:44:37] Picarto.tv TomyAtemo, TomyAtemo: es que lo estoy corriendo en mi pantalla
[23:45:03] Picarto.tv TomyAtemo, TomyAtemo: ahi debería mostrarlo
[23:45:18] Picarto.tv TomyAtemo, TomyAtemo: todavía no configuro las tildes XD
[23:48:42] Picarto.tv TomyAtemo, Derianart: se ve muy bin :0
[23:49:22] Picarto.tv TomyAtemo, TomyAtemo: gracias :D
[23:49:39] Picarto.tv TomyAtemo, TomyAtemo: en el futuro quiero hacer que también soporte distintos diseños
[23:51:19] Picarto.tv TomyAtemo, Derianart: chat con skins :0
[23:51:21] Picarto.tv TomyAtemo, Derianart: cobra
[23:51:27] Picarto.tv TomyAtemo, Derianart: vende la idea
[23:51:31] Picarto.tv TomyAtemo, Derianart: :cderianart-trump:
[23:52:30] Picarto.tv TomyAtemo, TomyAtemo: cuando sepa como exportarlo en un .exe XD
[0:06:14] Picarto.tv TomyAtemo, cecibarbs: bieeeeeen!
[0:52:49] Picarto.tv TomyAtemo, CtkArt: :ptv-scratch:
[0:53:57] Picarto.tv TomyAtemo, cecibarbs: holis!
[1:02:51] Picarto.tv TomyAtemo, CtkArt: hola
[1:03:22] Picarto.tv TomyAtemo, Derianart: hola c:
[1:03:28] Picarto.tv TomyAtemo, cecibarbs: hola!
[1:14:22] Picarto.tv TomyAtemo, Derianart: habra dejado el stream abierto por accidente tomy?
[1:16:10] Picarto.tv TomyAtemo, cecibarbs: yo creo que sip
[1:18:27] Picarto.tv TomyAtemo, CtkArt: holaaa
[1:20:34] Picarto.tv TomyAtemo, Derianart: alooo
[1:41:55] Picarto.tv TomyAtemo, cecibarbs: hihi
[1:45:14] Picarto.tv TomyAtemo, CtkArt: regrese
[1:45:17] Picarto.tv TomyAtemo, CtkArt: :)
[1:45:22] Picarto.tv TomyAtemo, Derianart: wb!
[1:45:27] Picarto.tv TomyAtemo, Derianart: como te ha ido?
[1:45:59] Picarto.tv TomyAtemo, CtkArt: :ptv-sneakysmirk:
[1:47:25] Picarto.tv TomyAtemo, Derianart: lo tomare como "un dia muy furri
[1:50:14] Picarto.tv TomyAtemo, TomyAtemo: volvi XD
[1:50:24] Picarto.tv TomyAtemo, TomyAtemo: no deje el stream abierto por accidente
[1:51:06] Picarto.tv TomyAtemo, TomyAtemo: queria ver si se caia mi programa por errores de memoria porque no chequié algunas cosas pero parece que funciona bien
[1:51:11] Picarto.tv TomyAtemo, TomyAtemo: ahora si me voy
[1:51:14] Picarto.tv TomyAtemo, TomyAtemo: chao :D
Log started: 19-08-2018 13:18:37
Log started: 19-08-2018 13:18:37
[13:19:06] Picarto.tv TomyAtemo, TomyAtemo: á
